NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth
SQ000001,squid_1,SQ1,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.89545
SQ000004,squid_1,SQ2,NovaSeq6000,NA,NA,NA,NA,NA,NA,6.51541
SQ000005,squid_1,SQ5,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,4.52132
SQ000006,squid_1,SQ6,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,4.61265
SQ000009,squid_1,SQ3,NovaSeq6000,California,NA,2207RL,67,33.24,-118.9,8.20102
SQ000010,squid_1,SQ4,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,8.05104
SQ000011,squid_1,SQ7,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,4.50047
SQ000012,squid_1,SQ8,NovaSeq6000,California,NA,2207RL,36,33.26,-118.83,3.59474
SQ000013,squid_1,SQ13,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.99044
SQ000014,squid_1,SQ14,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,7.76893
SQ000015,squid_1,SQ15,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.91422
SQ000016,squid_1,SQ16,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,6.81508
SQ000017,squid_1,SQ17,NovaSeq6000,California,NA,2207RL,49,34.5,-120.67,5.84985
SQ000018,squid_1,SQ18,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.13861
SQ000039,squid_1,SQ10,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,7.06949
SQ000040,squid_1,SQ11,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,6.37546
SQ000041,squid_1,SQ12,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,8.44385
SQ000042,squid_1,SQ9,NovaSeq6000,California,NA,2207RL,73,32.96,-118.75,5.3255
SQ000019,squid_2,SQ19,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.81319
SQ000020,squid_2,SQ20,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,7.46496
SQ000021,squid_2,SQ21,NovaSeq6000,California,NA,2207RL,55,34.35,-120.12,8.51909
SQ000022,squid_2,SQ22,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,8.66039
SQ000023,squid_2,SQ23,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,7.84857
SQ000024,squid_2,SQ24,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,9.32428
SQ000025,squid_2,SQ25,NovaSeq6000,California,NA,2207RL,52,34.34,-119.72,8.07692
SQ000026,squid_2,SQ26,NovaSeq6000,California,9/12/22,2207RL,40,36.56,-122.01,5.14261
SQ000028,squid_2,SQ28,NovaSeq6000,California,9/12/22,2207RL,40,36.56,-122.01,4.90271
SQ000030,squid_2,SQ29,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,5.9125
SQ000031,squid_2,SQ30,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,5.53425
SQ000032,squid_2,SQ31,NovaSeq6000,California,NA,2207RL,39,33.3,-117.57,6.61783
SQ000034,squid_2,SQ34,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,5.46921
SQ000035,squid_2,SQ35,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,5.02221
SQ000036,squid_2,SQ36,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,4.35649
SQ000037,squid_2,SQ37,NovaSeq6000,California,8/1/22,2207RL,22,37.55,-122.87,4.82995
SQ000043,squid_2,SQ32,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.32606
SQ000044,squid_2,SQ33,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.15222
SQ000045,squid_3,SQ42,NovaSeq6000,Alaska,3/15/17,NA,NA,NA,NA,5.52174
SQ000051,squid_3,SQ38,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.12259
SQ000052,squid_3,SQ39,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.05421
SQ000053,squid_3,SQ40,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.04952
SQ000054,squid_3,SQ41,NovaSeq6000,California,NA,2207RL,61,33.39,-120.61,5.69463
SQ000055,squid_3,SQ43,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,5.80455
SQ000056,squid_3,SQ44,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,5.66813
SQ000057,squid_3,SQ45,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,6.43427
SQ000058,squid_3,SQ46,NovaSeq6000,California,NA,2207RL,24,37.02,-122.66,6.22057
SQ000059,squid_3,SQ47,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,5.93573
SQ000060,squid_3,SQ48,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,6.49401
SQ000061,squid_3,SQ49,NovaSeq6000,California,NA,2207RL,26,36.93,-122.52,5.73746
SQ000063,squid_3,SQ50,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.68563
SQ000064,squid_3,SQ51,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.10651
SQ000065,squid_3,SQ52,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,7.98704
SQ000066,squid_3,SQ53,NovaSeq6000,California,NA,2207RL,18,37.97,-123.15,6.11008
SQ000067,squid_3,SQ54,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,5.4657
SQ000068,squid_3,SQ55,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,7.36787
SQ000048,squid_4,SQ75,NovaSeq6000,Alaska,5/7/17,NA,NA,NA,NA,5.57169
SQ000069,squid_4,SQ56,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,7.09089
SQ000070,squid_4,SQ57,NovaSeq6000,California,NA,2103RL,5,33.1,-117.92,6.043
SQ000071,squid_4,SQ58,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,6.41071
SQ000072,squid_4,SQ59,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,5.97901
SQ000073,squid_4,SQ60,NovaSeq6000,Oregon,NA,2107RL,15,45.34,-124.18,6.61711
SQ000075,squid_4,SQ61,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.52453
SQ000076,squid_4,SQ62,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.80357
SQ000077,squid_4,SQ63,NovaSeq6000,Oregon,NA,2107RL,19,43.51,-124.55,6.83002
SQ000079,squid_4,SQ64,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.08969
SQ000080,squid_4,SQ65,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.60143
SQ000082,squid_4,SQ66,NovaSeq6000,California,3/22/21,2104RL,5,33.92,-123.37,6.65048
SQ000083,squid_4,SQ67,NovaSeq6000,Oregon,NA,2107RL,13,45.5,-124.18,8.04528
SQ000084,squid_4,SQ68,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,7.29129
SQ000085,squid_4,SQ69,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,7.12397
SQ000086,squid_4,SQ70,NovaSeq6000,California,3/30/21,2103RL,26,34.21,-119.47,6.62103
